num_dossier,nom_site,date_creasite,adresse,quartier,secteur,commune,ev_tabac,ev_proprietaire,nb_acces,ev_fermable,ev_typologie,nb_arbres,acces_pmr
FABR_000003,Parcours de santé,, ,,,Fabrègues,,,,,9. Espaces de nature,1,
MNTP_000249,Abords Villas bio-climatiques,19860101,Rue de Sicile,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,Commune,0,Non,4. Acc. d'habitations,0,Non
STGN_000028,Projet de maison séniors,, ,,,Saint-Geniès-des-Mourgues,,,,,9. Espaces de nature,0,
STDR_000042,Lotissement le Bérange - Pompe de relevage,, ,,,Saint-Drézéry,,,,,9. Espaces de nature,0,
SUSS_000033,Jardin en face de la Carrosserie,, ,,,Sussargues,,,,,9. Espaces de nature,0,
SUSS_000040,Espace derrière le Skate Park,, ,,,Sussargues,,,,,9. Espaces de nature,0,
VEND_000259,Accot. 2 Rue du Trident,,RUE DU TRIDENT,,,Vendargues,,Région,,,2. Acc. de voiries,,
SUSS_000024,Jardin de la Maison Colucci,, ,,,Sussargues,,3M,,,9. Espaces de nature,20,
CSTR_000168,Accot;  rue de l'abrivado,,RUE DE L ABRIVADO,,,Castries,,Région,,,2. Acc. de voiries,,
,NEW Olivier Rue des Espinouses,,,,,Cournonsec,,,,,,,
,NEW Micocouliers Ecole La Gardiole,,,,,Fabrègues,,,,,,,
,NEW EV1 Rue des Devèzes rue des poètes,,,,,Vendargues,,3M,,,2. Acc. de voiries,,
CSTR_000048,Placette Av. des Razeteurs,,AVENUE DES RAZETEURS,,,Castries,,Région,,,14. Placette de lotissement,,
,NEW Ilot 1 Devèze 610,,,,,Vendargues,,3M,,,2. Acc. de voiries,,
,NEW EV 2 Rue des Devèzes rue des poète,,,,,Vendargues,,3M,,,2. Acc. de voiries,,
,NEW EV Bois du Juge,,,,,Vendargues,,3M,,,2. Acc. de voiries,2,
LAVE_000006,Villa Verde,, ,,,Lavérune,,,,,9. Espaces de nature,1,
PIGN_000238,Parcours de santé,, ,,,Pignan,,,,,9. Espaces de nature,1,
