num_dossier,nom_site,date_creasite,adresse,quartier,secteur,commune,ev_tabac,ev_proprietaire,nb_acces,ev_fermable,ev_typologie,nb_arbres,acces_pmr
MNTP_000249,Abords Villas bio-climatiques,19860101.0,Rue de Sicile,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,Commune,0.0,Non,4. Acc. d'habitations,0.0,Non
MNTP_000474,Place de Marathon,19910901.0,Place de Marathon,Centre,Antigone,Montpellier,Non,Commune,1.0,Oui,1. Parcs et squares,26.0,Oui
MNTP_000759,Serres - Jardin didactique,19940601.0,Avenue Albert Einstein,Est,Grammont,Montpellier,Non,Commune,1.0,Oui,18. Etablissement horticole,0.0,Non
MNTP_000856,Abords Rue Douanier Rousseau,19980910.0,Rue Douanier Rousseau,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,4.0,Non
MNTP_000145,École maternelle Madeleine Renaud,19700101.0,Avenue de Barcelone,Nord-Ouest,Mosson,Montpellier,Non,Commune,3.0,Non,6. Espaces verts écoles et crèches,8.0,Oui
MNTP_001353,Abords Quai Laurens,20240101.0,Quai Laurens,Centre,Antigone,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,18.0,Non
MNTP_000398,Escaliers Avenue de Palavas,19700101.0,Avenue de Palavas,Sud,Prés d'Arènes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000360,École maternelle Rudyard Kipling,19700101.0,Avenue Saint-Clément,Nord-Ouest,Cévennes,Montpellier,Non,Commune,1.0,Non,6. Espaces verts écoles et crèches,0.0,Oui
MNTP_000648,Abords Rue de la Chênaie,19910301.0,Rue de la Chênaie,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,2.0,Non
MNTP_000874,Abords du Château d'eau de Massane,19990928.0,Rue de la Soulane,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,3M,0.0,Non,3. Acc. de bât. et équipements publics,0.0,Non
MNTP_000149,Mail du Mas de Perrette,19870101.0,Route de Lavérune,Nord-Ouest,Cévennes,Montpellier,Non,Commune,5.0,Non,1. Parcs et squares,64.0,Oui
MNTP_001333,Abords Allée Laurent Duviols,19870101.0,Allée Laurent Duviols,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000336,École maternelle Jacques Prévert,19700101.0,Avenue du Comté de Nice,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,Commune,2.0,Non,6. Espaces verts écoles et crèches,0.0,Oui
MNTP_001224,Abords Avenue de Toulouse,19870101.0,Avenue de Toulouse - Allée Laurent Duviols,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001318,Abords parking du Bois de Montmaur,19910701.0,Avenue du Val de Montferrand,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,Commune,0.0,Non,3. Acc. de bât. et équipements publics,0.0,Non
MNTP_000463,Abords Maison Pour Tous Ricôme,19000101.0,Allée Louis Bonfils,Centre,Peyrou,Montpellier,Non,Commune,0.0,Non,4. Acc. d'habitations,0.0,Non
MNTP_000788,Aqueduc Saint-Clément - Parc Clémentville,19960615.0,Allée Fragonard,Nord-Ouest,Cévennes,Montpellier,Non,Commune,4.0,Non,9. Espaces de nature,0.0,Non
MNTP_000473,École élémentaire Périclès,19870101.0,528 Boulevard d'Antigone,Centre,Antigone,Montpellier,Non,Commune,1.0,Non,6. Espaces verts écoles et crèches,0.0,Oui
MNTP_001291,ZAE Garosud - Rue Claude Balbastre,20160104.0,Rue Claude Balbastre,Sud,Croix d'Argent,Montpellier,Non,SA3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001270,École primaire Benoîte Groult,20190901.0,Rue de Puech Villa,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,Commune,2.0,Oui,6. Espaces verts écoles et crèches,14.0,Oui
MNTP_000141,Place de Tibériade,19890401.0,Place de Tibériade,Sud,Prés d'Arènes,Montpellier,Non,Commune,0.0,Non,1. Parcs et squares,24.0,Oui
MNTP_001137,Aqueduc Saint-Clément - section Saint-Priest,20120830.0,Rue Ada,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,Commune,2.0,Non,9. Espaces de nature,0.0,En partie
MNTP_000829,ZAE Garosud - Abords et Rond-point du Mas d'Astre,19930101.0,Rond-point du Mas d'Astre,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,18.0,Non
MNTP_000842,Square des Cétoines,19980224.0,Rue des Cétoines,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,SA3M,0.0,Non,1. Parcs et squares,30.0,Oui
MNTP_001299,ZAE Garosud Nord - Rue Mehdi Ben Barka,20160105.0,Rue Mehdi Ben Barka,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000642,Abord Rue des Chasseurs - Avenue de Toulouse,19920601.0,Rue des Chasseurs - Avenue de Toulouse,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,1.0,Non
MNTP_000168,Place Molière,19870101.0,Boulevard Victor Hugo,Centre,Écusson,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001334,Abords Rue Charles Gounod,20230101.0,Rue Charles Gounod,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,4. Acc. d'habitations,3.0,Non
MNTP_001209,Abords Rue Léon Trotski,20160101.0,Rue Léon Trotski,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,34.0,Non
MNTP_001098,Tram Ligne 2 - Abords Rue Jules Ferry,20070601.0,Rue Jules Ferry,Centre,Écusson,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,10.0,Non
MNTP_001321,ZAE Garosud - Rond-point Henri Rol-Tanguy,19930101.0,Rond-Point Henri Rol-Tanguy,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,10.0,Non
MNTP_002564,Cheminement Fès Malbosc,20241030.0,Rue de Malbosc,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001093,Abords Rue Orphée,20060704.0,Rue Orphée,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001169,Ilot Avenue de Lodève,20140904.0,Avenue de Lodève,Centre,Peyrou,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000176,Abords parking Rue Jaufre Rudel,19720101.0,Rue Jaufre Rudel,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,8.0,Non
MNTP_000358,École maternelle Jeanne Deroin,19700101.0,Rue Viollet le Duc,Nord-Ouest,Cévennes,Montpellier,Non,Commune,1.0,Non,6. Espaces verts écoles et crèches,4.0,Oui
MNTP_000312,Domaine de Grammont - Abords Avenue Albert Einstein,19000101.0,Avenue Albert Einstein,Est,Grammont,Montpellier,Non,Commune,2.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000727,Abords École primaire Ludwig-Van-Beethoven,19931115.0,Chemin de Poutingon,Sud,Croix d'Argent,Montpellier,Non,Commune,0.0,Non,6. Espaces verts écoles et crèches,0.0,Oui
MNTP_000153,École maternelle Geneviève Bon,19700101.0,Rue Paul Rimbaud,Nord-Ouest,Cévennes,Montpellier,Non,Commune,1.0,Non,6. Espaces verts écoles et crèches,13.0,Oui
MNTP_000241,Abords parking Rue Bertrand de Born,19720101.0,Rue Bertrand de Born,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,8.0,Non
MNTP_000864,Abords Jardins du Séminaire,19980904.0,Rue des Communautés,Nord-Ouest,Mosson,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000267,Abords Route de Lavérune - Est,19880101.0,Route de Lavérune,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,22.0,Non
MNTP_001001,Abord Rue des Bateliers,20041130.0,Rue des Bateliers - Rue des Éclusiers,Sud,Prés d'Arènes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,5.0,Non
MNTP_000507,Abords Rue des Bouisses - Sud,19901101.0,Rue des Bouisses,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,2.0,Non
MNTP_000116,Ilots Ancienne mairie,19720101.0,Rue du Jeu de Ballon,Centre,Antigone,Montpellier,Non,Commune,0.0,Non,3. Acc. de bât. et équipements publics,1.0,Non
MNTP_000764,Abords Maison Pour Tous André Chamson,19941118.0,Rue Gustave Eiffel,Nord-Ouest,Cévennes,Montpellier,Non,Commune,2.0,Non,6. Espaces verts écoles et crèches,0.0,Oui
MNTP_001284,Domaine de Grammont - Roseraie,19850101.0,Avenue Albert Einstein,Est,Grammont,Montpellier,Non,3M,0.0,Non,3. Acc. de bât. et équipements publics,0.0,Non
MNTP_000214,École maternelle Térésa,19700101.0,Rue Antoine-Laurent Jussieu,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,Commune,1.0,Non,6. Espaces verts écoles et crèches,8.0,Oui
MNTP_001183,Parc Montcalm - Résidences CROUS,20141107.0,Rue des Chasseurs,Sud,Croix d'Argent,Montpellier,Non,Commune,3.0,Oui,1. Parcs et squares,115.0,Oui
MNTP_000049,Square des Arceaux,19480101.0,Boulevard Benjamin Milhaud,Centre,Peyrou,Montpellier,Oui,Commune,2.0,Oui,1. Parcs et squares,0.0,Oui
MNTP_000050,Square Figuerolles,19920301.0,Rue du Faubourg Figuerolles,Centre,Peyrou,Montpellier,Non,Commune,0.0,Non,1. Parcs et squares,42.0,Non
MNTP_000950,Square Louis Boffet,20011126.0,Rue Lallemand,Centre,Écusson,Montpellier,Non,Commune,1.0,Oui,1. Parcs et squares,8.0,Oui
MNTP_000479,École maternelle Agrippa d'Aubigné,19700101.0,Rue des Quatre Seigneurs,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,Commune,3.0,Non,6. Espaces verts écoles et crèches,23.0,Oui
MNTP_000254,Parc Bel Juel,19650101.0,Avenue des Moulins,Nord-Ouest,Cévennes,Montpellier,Non,Commune,1.0,Oui,1. Parcs et squares,0.0,Oui
MNTP_000182,Ilot Rue des Azéroliers,19880101.0,Rue des Azéroliers,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000697,Ilots Rue du Jeu de Mail des Abbés,19930726.0,Rue du Jeu de Mail des Abbés,Centre,Verdanson,Montpellier,Non,Commune,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000483,École maternelle Louise Michel,19700101.0,Avenue de la Pompignane,Est,Port Marianne,Montpellier,Non,Commune,1.0,Non,6. Espaces verts écoles et crèches,12.0,Oui
MNTP_000189,Abords Rue Placentin,19780101.0,Rue Placentin,Centre,Écusson,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000095,Square des Prés d'Arènes,19870101.0,Avenue de Palavas,Sud,Prés d'Arènes,Montpellier,Non,Commune,4.0,Oui,1. Parcs et squares,7.0,En partie
MNTP_002536,Abords Rue Georges Denizot,19000101.0,Rue Georges Denizot,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000965,Parc Dioscoride,20030215.0,Esplanade de Celleneuve - Allée de Paris,Nord-Ouest,Mosson,Montpellier,Oui,Commune,4.0,Oui,1. Parcs et squares,0.0,Oui
MNTP_000725,Parc de Costebelle,17500101.0,Allée Louis Mazas,Est,Port Marianne,Montpellier,Non,Commune,1.0,Oui,1. Parcs et squares,13.0,Non
MNTP_000376,Ilot Moularès/Trinquat,19000101.0,Chemin de Moularès,Sud,Prés d'Arènes,Montpellier,Non,Commune,1.0,Oui,2. Acc. de voiries,0.0,Non
MNTP_000280,Parc de Bagatelle,18500101.0,Rue de Cheng Du,Sud,Croix d'Argent,Montpellier,Non,Commune,4.0,Oui,1. Parcs et squares,91.0,Oui
MNTP_000797,Place Trégaro,19960115.0,Place Louis et Marie Trégaro,Est,Port Marianne,Montpellier,Non,Commune,2.0,Non,12. Place,14.0,Oui
MNTP_001089,Abords Rue de la Roqueturière,19950101.0,Rue de la Roqueturière,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000805,Abords Allée Germain Boffrand,19950315.0,Allée Germain Boffrand,Nord-Ouest,Mosson,Montpellier,Non,Commune,0.0,Non,4. Acc. d'habitations,7.0,Non
